Country,GDP,Inflation Rate,Unemployment Rate,Interest Rate,Exchange Rate,Stock Market Index,Labor Force Participation Rate,Government Debt,Trade Balance
Indonesia,Rupiah,-0.98,7.02,17.9,9.8092,2306.35,92.16,Ruble,Yuan Renminbi
China,Yuan Renminbi,3.1,8.63,6.3,5.2751,5650.26,14.97,Rand,Euro
Palestinian Territory,Shekel,0.36,29.65,2.69,2.2495,3656.0,45.11,Lek,Euro
Cuba,Peso,7.77,28.58,1.25,8.1499,2243.54,8.28,Peso,Euro
Portugal,Euro,-2.74,22.06,19.2,6.9455,6636.91,12.32,Yuan Renminbi,Denar
United States,Dollar,-1.06,21.77,10.38,9.6333,5360.57,84.64,Rupee,Rial
Guinea,Franc,-8.97,14.16,11.14,5.0071,646.37,66.41,Euro,Euro
Philippines,Peso,4.31,3.46,8.42,1.768,1943.58,88.1,Dinar,Naira
Iran,Rial,-8.04,2.65,12.53,1.38,4530.43,42.94,Dollar,Baht
Macedonia,Denar,-2.5,3.07,5.14,0.9724,7976.28,91.31,Euro,Yuan Renminbi
Netherlands,Euro,-5.25,8.33,6.24,7.051,3216.24,77.02,Hryvnia,Real
Indonesia,Rupiah,-6.01,13.13,15.94,5.2037,9580.06,64.93,Zloty,Rupiah
China,Yuan Renminbi,3.36,11.4,15.97,2.1925,88.74,86.81,Yen,Koruna
Cyprus,Euro,3.58,8.18,15.68,0.0927,784.83,38.11,Euro,Yuan Renminbi
Sri Lanka,Rupee,-8.97,4.28,12.43,6.5027,6068.86,46.59,Euro,Krona
China,Yuan Renminbi,2.03,22.39,9.99,6.0633,7424.17,68.81,Rupiah,Dollar
China,Yuan Renminbi,-8.62,14.85,4.41,8.4798,6429.73,50.94,Yuan Renminbi,Ruble
France,Euro,1.07,25.68,16.12,2.4257,879.74,86.17,Kyat,Ruble
China,Yuan Renminbi,-2.28,28.59,9.06,4.7428,7685.5,56.17,Dinar,Rial
Colombia,Peso,3.17,18.95,12.42,0.4604,7849.86,59.62,Rupiah,Yuan Renminbi
Ukraine,Hryvnia,9.83,24.44,19.6,5.2528,34.22,56.88,Yuan Renminbi,Kwacha
Macedonia,Denar,-0.14,9.41,6.54,6.3349,3496.98,78.63,Peso,Franc
Philippines,Peso,-4.5,17.91,19.21,5.7093,2216.5,94.22,Yuan Renminbi,Yuan Renminbi
Latvia,Euro,-3.61,28.01,15.47,1.3467,8291.78,3.24,Krona,Yuan Renminbi
Indonesia,Rupiah,2.53,28.75,9.1,5.0942,9269.7,46.21,Rupiah,Euro
China,Yuan Renminbi,6.11,25.51,0.06,9.6102,9912.76,36.97,Euro,Peso
Georgia,Lari,-1.96,6.01,10.08,0.4943,861.05,36.42,Ruble,Ruble
Azerbaijan,Manat,-0.85,23.82,0.1,1.0956,8621.45,80.69,Yuan Renminbi,Marka
Poland,Zloty,5.55,13.18,4.47,6.8308,9707.82,28.63,Ringgit,Rupiah
Indonesia,Rupiah,8.38,8.24,5.26,5.4452,471.58,38.27,Yuan Renminbi,Euro
France,Euro,-3.81,7.63,2.88,8.7822,9927.92,83.43,Peso,Franc
Colombia,Peso,-8.59,16.07,12.84,1.7797,9745.8,46.31,Rupiah,Yen
Honduras,Lempira,9.87,12.6,3.2,0.5876,4476.31,67.8,Lempira,Euro
China,Yuan Renminbi,8.71,7.64,19.0,9.2145,2836.68,77.96,Rupiah,Dollar
Indonesia,Rupiah,-4.15,7.47,15.37,6.6577,3355.02,25.08,Yuan Renminbi,Rand
Philippines,Peso,5.58,7.56,13.87,4.8857,3121.43,50.15,Rupiah,Peso
Belarus,Ruble,6.1,12.29,12.81,0.0219,9063.24,94.58,Krona,Rupiah
Iran,Rial,3.14,22.22,18.0,1.344,6639.07,16.55,Euro,Euro
Canada,Dollar,-8.32,6.28,14.8,6.7511,6010.89,44.91,Yuan Renminbi,Yuan Renminbi
Portugal,Euro,-0.24,20.06,12.15,4.9905,403.1,80.22,Euro,Peso
Peru,Sol,-0.13,28.58,5.8,0.484,6893.24,33.08,Dollar,Rupiah
Sweden,Krona,1.83,9.57,3.12,0.4829,1303.46,0.25,Hryvnia,Ruble
Indonesia,Rupiah,7.23,17.64,9.65,5.776,2360.41,29.7,Yuan Renminbi,Ruble
United States,Dollar,0.78,3.42,16.31,0.8279,8954.08,97.43,Peso,Won
Honduras,Lempira,-3.59,14.25,4.55,4.3667,9136.82,60.92,Rupiah,Yuan Renminbi
Vietnam,Dong,-1.53,29.57,12.91,7.9288,9699.81,44.96,Sol,Peso
Colombia,Peso,7.71,10.25,17.52,8.9357,9514.08,7.3,Balboa,Yuan Renminbi
China,Yuan Renminbi,9.34,5.1,13.96,2.0848,6477.42,16.54,Euro,Yuan Renminbi
Mexico,Peso,4.51,29.08,15.82,8.1451,6334.14,85.3,Franc,Rand
Bosnia and Herzegovina,Marka,1.39,22.76,5.34,7.3479,8403.88,63.06,Yuan Renminbi,Rupee
Syria,Pound,-0.99,16.74,6.86,2.8523,4362.94,21.51,Cordoba,Euro
Poland,Zloty,-5.38,25.55,3.94,5.1574,1480.35,0.89,Ruble,Zloty
Egypt,Pound,0.87,26.55,0.67,4.222,9075.88,60.04,Rial,Peso
Madagascar,Ariary,8.72,16.63,13.59,5.5518,4653.21,41.36,Dollar,Rupee
South Africa,Rand,7.23,8.29,4.89,7.397,2739.67,18.83,Bolivar,Sol
Latvia,Euro,5.91,16.22,12.09,3.4552,5086.64,57.54,Rupiah,Dram
Greece,Euro,-4.73,15.7,3.77,1.52,9194.5,20.19,Peso,Ruble
France,Euro,6.25,23.44,5.76,0.9096,4662.33,39.14,Euro,Tugrik
Costa Rica,Colon,-4.46,15.96,12.96,6.3591,4577.9,8.61,Naira,Yuan Renminbi
Vietnam,Dong,-6.01,19.36,8.87,6.8912,7573.48,54.78,Koruna,Rial
Madagascar,Ariary,-0.51,25.76,10.52,3.3983,2133.47,23.03,Yuan Renminbi,Dinar
Pakistan,Rupee,5.24,22.53,12.61,3.926,4374.46,47.69,Euro,Euro
Nigeria,Naira,-8.28,11.06,11.66,8.8001,7461.26,56.31,Pula,Rial
Ghana,Cedi,-0.25,6.78,3.05,5.8724,2143.03,18.47,Rupiah,Yuan Renminbi
China,Yuan Renminbi,5.69,16.31,5.53,8.0567,2183.34,90.33,Yuan Renminbi,Euro
Portugal,Euro,-6.42,24.76,15.63,7.777,6514.21,3.6,Yuan Renminbi,Rupee
Russia,Ruble,5.7,14.55,11.15,1.5025,863.34,40.55,Yuan Renminbi,Dram
China,Yuan Renminbi,-4.97,25.99,8.13,2.9431,7738.4,68.84,Tenge,Koruna
Portugal,Euro,2.08,7.83,3.99,6.1784,9352.5,52.62,Yen,Balboa
Sweden,Krona,6.98,18.59,11.86,6.9013,664.85,82.26,Zloty,Yuan Renminbi
Iran,Rial,-8.1,2.19,3.91,8.012,2568.46,87.59,Peso,Peso
Hungary,Forint,0.71,20.35,17.97,1.6151,2842.95,19.27,Rupiah,Koruna
Greece,Euro,9.5,10.46,3.1,7.5011,6506.93,0.58,Koruna,Dinar
Hungary,Forint,9.19,10.37,0.45,7.3596,4652.93,79.25,Euro,Franc
United States,Dollar,-6.53,6.12,14.7,4.6681,7722.94,0.76,Baht,Ruble
China,Yuan Renminbi,4.4,23.29,12.88,2.3648,559.93,21.32,Dollar,Real
Peru,Sol,8.52,5.75,17.82,2.0945,5257.79,39.1,Yuan Renminbi,Rupiah
Indonesia,Rupiah,-8.93,27.41,12.7,4.5008,5835.19,46.39,Yuan Renminbi,Peso
Philippines,Peso,7.5,23.32,10.56,5.0663,4042.97,64.72,Real,Yuan Renminbi
China,Yuan Renminbi,0.5,28.61,15.1,2.7507,3012.63,98.0,Kuna,Yuan Renminbi
Honduras,Lempira,3.9,12.0,17.41,2.3904,5827.51,20.36,Yuan Renminbi,Denar
Nigeria,Naira,0.33,0.6,7.77,0.6109,8854.53,11.43,Euro,Yuan Renminbi
Indonesia,Rupiah,8.07,19.94,4.25,8.913,1450.02,63.51,Ruble,Zloty
China,Yuan Renminbi,9.76,20.27,12.25,6.7838,7734.82,55.15,Real,Rupiah
China,Yuan Renminbi,-5.07,7.89,2.49,1.8377,7872.11,75.65,Quetzal,Gourde
Colombia,Peso,0.69,29.2,9.38,2.9531,2431.68,76.87,Real,Rupiah
Antigua and Barbuda,Dollar,8.44,23.73,5.16,8.8244,4073.78,39.95,Euro,Dollar
Thailand,Baht,9.4,19.52,17.44,4.3983,3569.94,82.37,Euro,Dollar
China,Yuan Renminbi,0.99,25.43,0.76,1.6363,4882.82,66.06,Dinar,Manat
China,Yuan Renminbi,-6.44,2.63,11.1,1.9054,647.64,56.77,Kwacha,Boliviano
China,Yuan Renminbi,0.83,26.82,13.4,3.3731,8019.3,98.37,Peso,Dirham
China,Yuan Renminbi,6.68,10.52,14.42,7.7755,4828.32,34.11,Dong,Rupiah
Indonesia,Rupiah,3.67,14.33,4.18,9.0131,6202.84,49.45,Dollar,Real
Russia,Ruble,-0.26,8.71,0.29,4.7167,4729.37,14.14,Yuan Renminbi,Zloty
Poland,Zloty,-8.95,20.93,15.38,6.7266,6505.71,92.16,Ruble,Rupiah
Brazil,Real,-0.57,13.62,5.32,9.7839,1057.44,91.55,Ruble,Euro
China,Yuan Renminbi,0.34,23.84,15.12,4.7545,2175.95,2.48,Yuan Renminbi,Zloty
Poland,Zloty,-3.33,4.3,11.43,9.5997,4272.6,26.09,Somoni,Ruble
France,Euro,9.32,1.85,15.99,9.5253,5082.06,77.17,Peso,Yuan Renminbi
Indonesia,Rupiah,-4.98,23.1,5.79,7.1729,505.67,43.61,Euro,Ruble
Indonesia,Rupiah,7.02,9.0,2.26,5.8946,4711.47,10.26,Dollar,Yuan Renminbi
Dominican Republic,Peso,-5.46,6.63,5.77,2.2132,7820.52,22.89,Hryvnia,Yuan Renminbi
Kazakhstan,Tenge,-7.38,24.67,2.42,0.382,7067.28,31.61,Yuan Renminbi,Dong
Guatemala,Quetzal,0.02,5.36,11.62,0.1548,3177.91,91.01,Dollar,Dinar
Vietnam,Dong,5.39,21.23,8.98,6.2054,6083.04,18.38,Yuan Renminbi,Euro
China,Yuan Renminbi,-5.22,11.37,18.32,9.234,1980.79,27.97,Euro,Kuna
China,Yuan Renminbi,3.67,14.28,5.88,7.4837,5852.46,75.47,Hryvnia,Sol
Cambodia,Riels,-2.12,7.75,5.59,7.5643,6862.02,88.73,Yuan Renminbi,Rupiah
Norway,Krone,-8.74,1.25,12.39,4.5881,8678.48,38.15,Ruble,Peso
China,Yuan Renminbi,7.36,7.16,11.25,2.312,4378.18,27.78,Dollar,Ruble
Indonesia,Rupiah,-5.13,22.55,15.99,9.4016,4217.63,65.86,Peso,Ruble
Japan,Yen,-1.67,16.75,1.71,9.0776,2474.6,27.71,Dong,Yuan Renminbi
Indonesia,Rupiah,-7.87,10.49,1.1,3.5234,5692.31,99.96,Yuan Renminbi,Peso
Peru,Sol,-5.15,13.1,12.14,2.3219,8505.24,47.56,Yuan Renminbi,Rupiah
Russia,Ruble,3.18,13.29,0.68,3.9906,7866.61,83.76,Rupee,Zloty
Thailand,Baht,2.35,29.46,2.03,0.7091,7995.97,37.01,Ruble,Dollar
Russia,Ruble,7.29,24.16,15.72,3.9838,682.72,99.84,Yuan Renminbi,Yuan Renminbi
Marshall Islands,Dollar,5.27,2.0,18.44,1.8733,3036.31,57.84,Rupiah,Euro
Ukraine,Hryvnia,-1.46,0.18,12.83,0.9639,6373.52,20.61,Bolivar,Dollar
Czech Republic,Koruna,7.7,16.76,12.26,0.1136,5821.78,19.25,Euro,Ruble
Brazil,Real,3.15,11.31,17.84,6.5561,940.01,67.34,Peso,Kwacha
China,Yuan Renminbi,-2.18,17.87,17.58,2.4482,3402.68,0.57,Yuan Renminbi,Yuan Renminbi
El Salvador,Dollar,-3.74,29.22,12.35,1.8393,6426.63,83.13,Koruna,Yuan Renminbi
Portugal,Euro,3.95,21.37,2.29,5.7329,5696.45,30.05,Zloty,Koruna
Argentina,Peso,6.02,14.34,15.6,8.1291,6666.61,40.68,Koruna,Euro
Peru,Sol,5.41,22.96,14.33,8.7637,643.32,84.06,Real,Peso
China,Yuan Renminbi,3.5,8.94,7.29,4.8399,879.25,8.72,Ariary,Yuan Renminbi
Japan,Yen,0.79,10.93,17.41,3.567,9313.57,47.87,Koruna,Afghani
Portugal,Euro,7.91,11.65,4.8,6.8488,6459.58,6.55,Baht,Lempira
Portugal,Euro,2.71,24.79,7.26,7.0973,1492.69,55.9,Shekel,Yuan Renminbi
Morocco,Dirham,-3.28,2.83,18.08,4.5727,5849.03,83.86,Rupiah,Peso
Guatemala,Quetzal,4.47,11.12,9.68,3.2624,3535.01,18.13,Yuan Renminbi,Dollar
